subject	predicate	object	subject_prefix	updated_subject
NCBITaxon:1945634	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1945634
NCBITaxon:332101	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:332101
NCBITaxon:1120921	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1120921
NCBITaxon:433287	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:433287
NCBITaxon:1469948	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1469948
NCBITaxon:1628085	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1628085
NCBITaxon:991789	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:991789
NCBITaxon:1121323	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1121323
NCBITaxon:887929	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:887929
NCBITaxon:1472416	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1472416
NCBITaxon:217159	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:217159
NCBITaxon:1121327	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1121327
NCBITaxon:1493	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1493
NCBITaxon:1962263	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:1962263
NCBITaxon:445972	biolink:produces	CHEBI:17968	NCBITaxon	NCBITaxon:445972
